Start Time, End Time, Duration (mins), Nap, Sleep Quality (%), Time Awake (mins), Time in REM Slep (mins),Time in Light Sleep (mins), Time In Deep Sleep (mins), SoundsRecorded, Wake-up mood, 
2018-04-27 03:11:05 +0000, 2018-04-27 10:00:39 +0000, 410, NO, 58, 15, 35, 95, 210, 19, Not Good, 
2018-04-28 03:54:48 +0000, 2018-04-28 13:15:31 +0000, 561, NO, 70, 75, 105, 166, 215, 14, Not Good, 
2018-04-29 03:24:19 +0000, 2018-04-29 12:48:54 +0000, 565, NO, 68, 90, 174, 155, 145, 45, Ok, 
2018-04-30 02:43:16 +0000, 2018-04-30 10:30:20 +0000, 467, NO, 72, 40, 80, 140, 205, 22, Ok, 
2018-05-01 03:26:54 +0000, 2018-05-01 10:05:01 +0000, 398, NO, 75, 15, 55, 145, 180, 14, Good, 
2018-05-02 02:49:43 +0000, 2018-05-02 10:36:07 +0000, 466, NO, 73, 35, 95, 116, 220, 26, Ok, 
2018-05-03 04:01:29 +0000, 2018-05-03 11:44:53 +0000, 463, NO, 63, 80, 65, 118, 200, 32, Ok, 
2018-05-04 03:31:21 +0000, 2018-05-04 10:24:55 +0000, 414, NO, 63, 62, 80, 116, 150, 12, Ok, 
2018-05-05 03:13:52 +0000, 2018-05-05 14:17:14 +0000, 663, NO, 62, 215, 110, 148, 190, 39, Ok, 
2018-05-06 04:37:59 +0000, 2018-05-06 14:08:47 +0000, 571, NO, 75, 35, 90, 150, 295, 12, N/A, 
2018-05-07 02:57:35 +0000, 2018-05-07 10:18:47 +0000, 441, NO, 78, 27, 95, 109, 210, 7, Not Good, 
2018-05-08 02:42:07 +0000, 2018-05-08 10:00:27 +0000, 438, NO, 85, 10, 85, 135, 208, 9, Good, 
